SRS RGASoft 4.1.0 - Residual Gas Analyzer Software
Document Created on, Friday, October 10, 2025 10:32:26 AM, Central Daylight Time
RGA ID, SRSRGA200VER0.24SN18194


Scan Mode, Analog
Number of Data Points, 3726
Units, Torr
Start Mass, 1, AMU
Stop Mass, 150, AMU
Points Per AMU, 25
Scan Rate, 5.00
Detector, Faraday Cup
Focus Voltage, 90, V
Ion Energy, 12, eV
Electron Energy, 70, eV
CEM Voltage, 0, V
CEM Gain, 1.145
Partial Pressure Sensitivity Factor, 5.64
Total Pressure Sensitivity Factor, 0.237
Filament Current, 1.60, mA


Analog Scan Data
----------------

              Mass (AMU),         Intensity (Torr)
                    8.24,              -5.5496e-12
                    8.28,              -6.7199e-12
                    8.32,              -4.1667e-12
                    8.36,              -3.8298e-12
                    8.40,              -7.3227e-12
                    8.44,              -6.4362e-12
                    8.48,              -7.0567e-12
                    8.52,              -5.5496e-12
                    8.56,               8.5106e-13
                    8.60,              -1.0461e-12
                    8.64,              -4.1667e-12
                    8.68,              -1.8794e-12
                    8.72,              -6.5248e-12
                    8.76,              -2.3582e-12
                    8.80,              -1.9504e-13
                    8.84,               4.2553e-13
                    8.88,              -8.5106e-12
                    8.92,              -6.1702e-12
                    8.96,              -7.2695e-12
                    9.00,              -5.0000e-12
                    9.04,              -4.9291e-12
                    9.08,              -9.5390e-12
                    9.12,              -7.4823e-12
                    9.16,              -1.1188e-11
                    9.20,              -7.8901e-12
                    9.24,              -4.5035e-12
                    9.28,              -2.7837e-12
                    9.32,              -1.0851e-11
                    9.36,              -7.8901e-12
                    9.40,              -9.9468e-12
                    9.44,              -8.2447e-12
                    9.48,              -5.9574e-12
                    9.52,              -6.9326e-12
                    9.56,              -1.3262e-11
                    9.60,              -1.0709e-11
                    9.64,              -1.1950e-11
                    9.68,              -5.6738e-12
                    9.72,              -3.0496e-12
                    9.76,              -9.5390e-12
                    9.80,              -9.7518e-12
                    9.84,              -1.0993e-11
                    9.88,              -9.3262e-12
                    9.92,              -5.9574e-12
                    9.96,              -1.8794e-12
                   10.00,              -9.1135e-12
                   10.04,              -8.9894e-12
                   10.08,              -1.3067e-11
                   10.12,              -7.0745e-12
                   10.16,              -5.8333e-12
                   10.20,              -8.5106e-12
                   10.24,              -1.5018e-11
                   10.28,              -1.3759e-11
                   10.32,              -1.6011e-11
                   10.36,              -7.8901e-12
                   10.40,              -2.6418e-12
                   10.44,              -4.8582e-12
