SRS RGASoft 4.1.0 - Residual Gas Analyzer Software
Document Created on, Thursday, October 9, 2025 11:25:23 AM, Central Daylight Time
RGA ID, SRSRGA200VER0.24SN18194


Scan Mode, Analog
Number of Data Points, 3726
Units, Torr
Start Mass, 1, AMU
Stop Mass, 150, AMU
Points Per AMU, 25
Scan Rate, 5.00
Detector, Faraday Cup
Focus Voltage, 90, V
Ion Energy, 12, eV
Electron Energy, 70, eV
CEM Voltage, 0, V
CEM Gain, 1.145
Partial Pressure Sensitivity Factor, 5.64
Total Pressure Sensitivity Factor, 0.237
Filament Current, 1.60, mA


Analog Scan Data
----------------

              Mass (AMU),         Intensity (Torr)
                    8.44,              -3.0319e-12
                    8.48,               1.4007e-12
                    8.52,               3.7234e-13
                    8.56,              -1.2057e-12
                    8.60,              -2.0567e-12
                    8.64,              -1.7270e-11
                    8.68,              -3.3493e-11
                    8.72,              -2.2996e-11
                    8.76,              -2.1064e-11
                    8.80,              -1.5284e-11
                    8.84,              -1.3617e-11
                    8.88,              -1.5284e-11
                    8.92,              -1.2784e-11
                    8.96,               1.6862e-11
                    9.00,               4.5745e-12
                    9.04,               7.5355e-12
                    9.08,               2.4291e-12
                    9.12,              -4.2199e-12
                    9.16,               3.8121e-12
                    9.20,               3.4752e-12
                    9.24,               1.6135e-12
                    9.28,               3.6170e-12
                    9.32,               1.0638e-13
                    9.36,              -1.8972e-12
                    9.40,               4.6454e-12
                    9.44,               3.1206e-12
                    9.48,               4.2908e-12
                    9.52,               1.5426e-12
                    9.56,              -4.4326e-12
                    9.60,              -4.6454e-12
                    9.64,               1.2057e-12
                    9.68,              -2.8191e-12
                    9.72,              -1.0638e-12
                    9.76,              -1.6312e-12
                    9.80,              -4.5035e-12
                    9.84,               1.4184e-12
                    9.88,               3.8830e-12
                    9.92,              -1.5603e-12
                    9.96,              -1.0284e-12
                   10.00,              -4.2199e-12
                   10.04,              -2.9911e-11
                   10.08,              -2.3670e-11
                   10.12,              -1.9433e-11
                   10.16,              -6.5248e-12
                   10.20,               1.1933e-11
                   10.24,               5.4787e-12
                   10.28,               2.9965e-12
                   10.32,               9.1312e-12
                   10.36,               4.2199e-12
                   10.40,               4.8404e-12
                   10.44,              -1.7730e-12
                   10.48,              -3.5816e-12
                   10.52,              -3.7943e-12
                   10.56,              -3.7234e-12
                   10.60,              -3.9362e-12
                   10.64,              -9.2199e-13
                   10.68,              -3.1028e-12
                   10.72,              -5.8333e-12
                   10.76,               1.5957e-13
                   10.80,              -1.0106e-12
                   10.84,              -1.4894e-12
                   10.88,              -5.8511e-13
                   10.92,              -1.7730e-12
                   10.96,              -8.8652e-13
                   11.00,               6.7730e-12
                   11.04,              -9.2199e-13
                   11.08,               2.9787e-12
                   11.12,              -3.2447e-12
                   11.16,              -2.5106e-11
                   11.20,              -2.7092e-11
