SRS RGASoft 4.1.0 - Residual Gas Analyzer Software
Document Created on, Thursday, October 9, 2025 1:42:28 PM, Central Daylight Time
RGA ID, SRSRGA200VER0.24SN18194


Scan Mode, Analog
Number of Data Points, 3726
Units, Torr
Start Mass, 1, AMU
Stop Mass, 150, AMU
Points Per AMU, 25
Scan Rate, 5.00
Detector, Faraday Cup
Focus Voltage, 90, V
Ion Energy, 12, eV
Electron Energy, 70, eV
CEM Voltage, 0, V
CEM Gain, 1.145
Partial Pressure Sensitivity Factor, 5.64
Total Pressure Sensitivity Factor, 0.237
Filament Current, 1.60, mA


Analog Scan Data
----------------

              Mass (AMU),         Intensity (Torr)
                    8.28,              -9.0248e-12
                    8.32,              -1.3298e-11
                    8.36,              -1.1507e-11
                    8.40,              -6.9326e-12
                    8.44,              -1.2057e-11
                    8.48,              -1.2340e-11
                    8.52,              -4.5567e-12
                    8.56,              -1.0124e-11
                    8.60,              -3.7057e-12
                    8.64,              -5.1064e-12
                    8.68,              -1.1933e-11
                    8.72,              -7.9078e-12
                    8.76,              -4.1312e-12
                    8.80,              -9.2908e-12
                    8.84,              -1.0674e-11
                    8.88,              -1.2340e-11
                    8.92,              -1.5638e-11
                    8.96,              -8.7411e-12
                    9.00,              -1.0674e-11
                    9.04,              -1.2074e-11
                    9.08,              -1.0408e-11
                    9.12,              -1.1507e-11
                    9.16,              -1.2411e-11
                    9.20,              -2.0213e-12
                    9.24,              -6.5071e-12
                    9.28,              -4.2730e-12
                    9.32,              -7.9078e-12
                    9.36,              -1.0691e-11
                    9.40,              -9.2908e-12
                    9.44,              -9.2908e-12
                    9.48,              -1.1791e-11
                    9.52,              -1.1028e-11
                    9.56,              -1.3298e-11
                    9.60,              -1.3848e-11
                    9.64,              -6.9149e-12
                    9.68,              -1.0550e-11
                    9.72,              -1.2482e-11
                    9.76,              -9.0248e-12
                    9.80,              -1.0266e-11
                    9.84,              -1.3582e-11
                    9.88,              -7.5000e-12
                    9.92,              -1.3582e-11
                    9.96,              -1.2199e-11
                   10.00,              -1.3723e-11
                   10.04,              -1.5922e-11
                   10.08,              -1.4681e-11
                   10.12,              -1.1294e-11
                   10.16,              -1.3848e-11
                   10.20,              -9.4326e-12
                   10.24,              -1.1649e-11
                   10.28,              -1.3298e-11
                   10.32,              -8.0496e-12
                   10.36,              -9.6986e-12
                   10.40,              -8.0496e-12
                   10.44,              -8.4574e-12
                   10.48,              -1.1862e-11
                   10.52,              -1.4131e-11
                   10.56,              -7.5000e-12
                   10.60,              -1.3652e-11
                   10.64,              -1.1383e-11
                   10.68,              -1.1241e-11
                   10.72,              -1.1791e-11
                   10.76,              -1.1791e-11
                   10.80,              -1.1933e-11
                   10.84,              -1.6454e-11
                   10.88,              -1.3848e-11
                   10.92,              -1.3848e-11
                   10.96,              -1.6596e-11
                   11.00,              -8.0319e-12
                   11.04,              -7.7660e-12
                   11.08,              -4.2730e-12
                   11.12,              -4.6986e-12
                   11.16,              -1.0124e-11
                   11.20,              -1.2199e-11
                   11.24,              -6.6489e-12
                   11.28,              -1.0550e-11
                   11.32,              -7.7660e-12
                   11.36,              -2.8723e-12
                   11.40,              -7.6241e-13
                   11.44,               7.4113e-12
                   11.48,               3.0869e-11
                   11.52,               6.2908e-11
                   11.56,               1.2090e-10
                   11.60,               1.8188e-10
                   11.64,               2.3798e-10
                   11.68,               3.0606e-10
                   11.72,               3.6922e-10
                   11.76,               4.3457e-10
                   11.80,               4.9722e-10
                   11.84,               5.4402e-10
                   11.88,               5.6902e-10
                   11.92,               6.0303e-10
                   11.96,               6.1328e-10
                   12.00,               6.3266e-10
                   12.04,               6.2734e-10
                   12.08,               6.0408e-10
                   12.12,               5.9333e-10
                   12.16,               5.6780e-10
                   12.20,               4.6800e-10
                   12.24,               3.2805e-10
                   12.28,               2.1915e-10
                   12.32,               1.4468e-10
                   12.36,               1.0401e-10
                   12.40,               7.6915e-11
                   12.44,               5.5071e-11
                   12.48,               4.2145e-11
                   12.52,               3.5816e-11
                   12.56,               3.5053e-11
                   12.60,               4.5904e-11
                   12.64,               4.6507e-11
                   12.68,               5.1170e-11
                   12.72,               5.8670e-11
                   12.76,               5.8972e-11
                   12.80,               6.7713e-11
                   12.84,               8.4699e-11
                   12.88,               8.4362e-11
                   12.92,               9.4770e-11
                   12.96,               9.9273e-11
                   13.00,               9.8918e-11
                   13.04,               1.0702e-10
                   13.08,               1.1278e-10
                   13.12,               1.1417e-10
